1	0.00019	-0.00032	-0.00019	1	-0.00023	0.00032	0.00023	1
1	0.00021	-0.00057	-0.00021	1	-0.00049	0.00057	0.00049	1
1	0.00031	-0.00026	-0.00031	1	-0.00071	0.00026	0.00071	1
1	0.00044	-0.00016	-0.00044	1	-0.00057	0.00016	0.00057	1
1	0.00039	-0.00013	-0.00039	1	-0.00063	0.00013	0.00063	1
1	0.00049	-0.00021	-0.00049	1	-0.00068	0.00021	0.00068	1
1	0.00041	-4E-05	-0.00041	1	-0.00113	4E-05	0.00113	1
1	0.00037	0.00012	-0.00037	1	-0.00151	-0.00012	0.00151	1
1	0.00024	-1E-05	-0.00024	1	-0.00107	1E-05	0.00107	1
1	0.00025	4E-05	-0.00025	1	-0.00105	-4E-05	0.00105	1
1	-0.0003	3E-05	0.0003	1	-0.00084	-2E-05	0.00084	1
1	0.00022	-0.00015	-0.00023	1	-0.00092	0.00015	0.00092	1
1	0.00012	-0.00029	-0.00012	1	-0.00097	0.00029	0.00097	1
1	0.00013	-0.00042	-0.00014	1	-0.00114	0.00042	0.00114	1
1	0.00015	-0.00039	-0.00015	1	-0.00112	0.00039	0.00112	1
1	0.00016	-0.00049	-0.00016	1	-0.00101	0.00049	0.00101	1
1	0.00013	-0.00036	-0.00013	1	-0.00099	0.00036	0.00099	1
1	8E-05	-0.00033	-8E-05	1	-0.00096	0.00033	0.00096	1
1	0.00014	-0.00042	-0.00014	1	-0.00103	0.00042	0.00103	1
1	0.00011	-0.00035	-0.00011	1	-0.00106	0.00035	0.00106	1
1	0.0001	-0.00038	-0.0001	1	-0.0009	0.00038	0.0009	1
1	4E-05	-0.0005	-4E-05	1	-0.00094	0.0005	0.00094	1
1	0.00014	-0.00113	-0.00014	1	-0.001	0.00113	0.001	1
1	-0.00022	-0.00266	0.00021	1	-0.00162	0.00266	0.00162	1
0.99995	0.00267	-0.01	-0.0027	0.99999	-0.00385	0.00999	0.00388	0.99994
0.99984	0.00936	-0.01514	-0.00944	0.99994	-0.00514	0.0151	0.00528	0.99987
0.99905	0.02562	-0.03536	-0.02573	0.99966	-0.00281	0.03528	0.00372	0.99937
0.99762	0.03359	-0.06028	-0.03395	0.99941	-0.00488	0.06008	0.00692	0.99817
0.99855	0.02771	-0.04615	-0.02805	0.99958	-0.00676	0.04595	0.00805	0.99891
0.99918	0.02799	-0.02909	-0.02848	0.99945	-0.01672	0.02861	0.01753	0.99944
0.99917	0.02547	-0.03177	-0.0261	0.99947	-0.01957	0.03125	0.02038	0.9993
0.9991	0.02496	-0.03428	-0.02592	0.99928	-0.0277	0.03356	0.02856	0.99903
0.99803	0.03077	-0.05475	-0.03267	0.99889	-0.03408	0.05364	0.0358	0.99792
0.99704	0.0346	-0.0687	-0.03643	0.99901	-0.02556	0.06775	0.02799	0.99731
0.99725	0.03149	-0.06702	-0.03262	0.99934	-0.0157	0.06648	0.01784	0.99763
0.9978	0.02849	-0.05979	-0.02905	0.99954	-0.00858	0.05952	0.0103	0.99817
0.9982	0.02457	-0.05471	-0.02521	0.99962	-0.01093	0.05442	0.01229	0.99844
0.99738	0.02853	-0.06646	-0.02896	0.99956	-0.00558	0.06628	0.00749	0.99777
0.99655	0.02683	-0.07852	-0.0274	0.99961	-0.00618	0.07832	0.00831	0.99689
0.99701	0.03131	-0.07062	-0.03197	0.99946	-0.00814	0.07033	0.01038	0.99747
0.99513	0.03052	-0.09376	-0.03199	0.99939	-0.01415	0.09327	0.01708	0.99549
0.99245	0.02411	-0.12022	-0.0286	0.99895	-0.0358	0.11923	0.03896	0.9921
0.99233	0.02293	-0.12148	-0.02823	0.99871	-0.04211	0.12036	0.04521	0.9917
0.99272	0.02445	-0.11796	-0.02917	0.99884	-0.03844	0.11688	0.0416	0.99227
0.99171	0.02662	-0.12574	-0.03024	0.99918	-0.02692	0.12492	0.0305	0.9917
0.98898	0.0335	-0.14423	-0.03366	0.99943	0.00134	0.14419	0.00353	0.98954
0.98871	0.04387	-0.1433	-0.0425	0.99902	0.01259	0.14371	-0.00636	0.9896
0.99134	0.034	-0.12688	-0.03381	0.99942	0.00367	0.12693	0.00065	0.99191
0.99157	0.02584	-0.127	-0.02587	0.99966	0.00145	0.127	0.00185	0.9919
0.98773	0.02882	-0.1535	-0.02926	0.99957	-0.00062	0.15342	0.00511	0.98815
0.98607	0.02923	-0.16376	-0.0292	0.99957	0.00262	0.16377	0.0022	0.9865
0.98983	0.04048	-0.13635	-0.03918	0.99916	0.01214	0.13673	-0.00668	0.99059
0.99274	0.04357	-0.11213	-0.04143	0.99891	0.02141	0.11294	-0.0166	0.99346
0.99489	0.03948	-0.09288	-0.03738	0.99901	0.02417	0.09374	-0.02057	0.99538
0.99479	0.053	-0.08705	-0.05201	0.99855	0.01357	0.08764	-0.00897	0.99611
0.99596	0.05189	-0.07332	-0.05268	0.99857	-0.00889	0.07275	0.01272	0.99727
0.99733	0.04359	-0.05867	-0.04558	0.99842	-0.03299	0.05714	0.03557	0.99773
0.99882	0.03642	-0.032	-0.03759	0.99861	-0.03687	0.03061	0.03802	0.99881
0.9995	0.03129	-0.00334	-0.03139	0.99877	-0.03846	0.00213	0.03855	0.99925
0.99911	0.04132	0.00824	-0.041	0.99849	-0.03654	-0.00974	0.03617	0.9993
0.99766	0.06799	-0.00684	-0.06815	0.99734	-0.0257	0.00508	0.02611	0.99965
0.99648	0.07688	-0.03336	-0.07744	0.99687	-0.01566	0.03205	0.01819	0.99932
0.99505	0.06323	-0.07666	-0.06398	0.99792	-0.00741	0.07603	0.01228	0.99703
