121.89632	1232.39266	1357.42683	1.00E-05	0	-1.00E-05	0.52302	1	0	0	0	1	0	0	0	1
122.26092	1232.63941	1357.28759	-0.00358	0.09552	0.04558	0.57715	1	0.0008	-0.00167	-0.0008	1	-6.00E-05	0.00167	6.00E-05	1
122.69702	1232.82989	1357.11961	-0.03339	0.12998	-0.09721	0.56981	1	-0.0017	-0.00227	0.0017	1	-0.00059	0.00227	0.00058	1
123.14984	1232.99886	1357.0181	-0.1261	0.18469	-0.20554	0.56686	0.99999	-0.00359	-0.00322	0.00359	0.99999	-0.00221	0.00322	0.0022	0.99999
123.61345	1233.08505	1356.90127	-0.09816	0.10911	-0.26254	0.54425	0.99999	-0.00459	-0.0019	0.00458	0.99999	-0.00172	0.0019	0.00171	1
123.29491	1234.03273	1356.87112	0.01591	0.32934	0.49751	1.49811	0.99995	0.00868	-0.00575	-0.00868	0.99996	0.00033	0.00575	-0.00028	0.99998
123.74557	1234.11292	1356.75616	-0.01413	0.14589	0.45045	1.48342	0.99997	0.00786	-0.00255	-0.00786	0.99997	-0.00023	0.00255	0.00025	1
124.2096	1234.28305	1356.69984	-0.00738	-0.00033	0.36758	1.47674	0.99998	0.00642	0	-0.00642	0.99998	-0.00013	-1.00E-05	0.00013	1
124.64248	1234.48181	1356.67122	-0.0114	-0.0776	0.35849	1.56973	0.99998	0.00626	0.00135	-0.00626	0.99998	-0.00021	-0.00135	0.0002	1
124.07268	1234.69573	1357.23936	0.07141	0.51419	0.55743	2.02478	0.99991	0.00974	-0.00896	-0.00973	0.99995	0.00133	0.00897	-0.00125	0.99996
126.76398	1233.62893	1357.47801	2.02337	-0.10205	-1.36025	1.34762	0.99972	-0.02379	0.00094	0.02374	0.99909	0.03534	-0.00178	-0.03531	0.99937
127.23491	1232.52271	1358.40872	4.44209	1.07982	-0.67519	2.41874	0.99975	-0.01029	-0.0197	0.01178	0.99694	0.07722	0.01885	-0.07744	0.99682
127.73508	1232.62989	1358.1701	4.83126	0.94929	-0.52552	2.40463	0.99982	-0.00774	-0.01728	0.00917	0.99642	0.08407	0.01657	-0.08421	0.99631
127.82387	1232.71777	1358.41637	4.32816	1.62589	-1.01476	2.54068	0.99944	-0.01552	-0.02962	0.0177	0.99703	0.07496	0.02837	-0.07544	0.99675
